Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Ruthenium, charm bracelet, Seductress, Short, Toned, Heart-Shaped Face, Olive Skin, White Hair, teal Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, Loose Waves, saggy breasts, Drop earrings, fuchsia, velvet lipstick, Green Silk Bralette and Panty Set
Radium, statement necklace, Sensation, Short, Fit, Triangular Face, Fair Skin, Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Side-Swept Bangs, natural breasts, Cuff earrings, soft pink, metallic lipstick, White Sheer Teddy with Lace Trim
Palladium, ankle bracelet, Temptress, Short, Fit, Triangular Face, Tan Skin, Honey Blonde Hair, Hazel Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Twist, soft breasts, Drop earrings, cream, velvet lipstick, Pink Lace Garter Slip with Matching Thong
Palladium, cuff bracelet, Dame, Average Height, Athletic, Round Face, Olive Skin, Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Chignon, soft breasts, Faux gauge earrings, terracotta, metallic lipstick, Red Mesh Chemise with Strappy Back Detail
Gallium, ankle strap, Gal, Tall, Toned, Triangular Face, Dark Skin, Dark Brown Hair, peach Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Viking Braid, full breasts, Huggie earrings, peach, satin lipstick, Pink Lace Chemise with Ruffle Details
Platinum, pendant, Countess, Short, Toned, Oval Face, Fair Skin, White Hair, jade Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Low Updo, large breasts, Cuff earrings, teal, velvet lipstick, Gold Strappy Bodysuit
Gallium, necklace, Maven, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Gray Hair, ruby Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Shoulder-Length Curls, firm breasts, Threader earrings, plum, metallic lipstick, Olive Green Mesh Garter Belt with Stockings
Rhenium, locket necklace, Visionary, Tall, in shape, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, grey Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Bangs with Highlights, full breasts, Dangle earrings, lavender, satin lipstick, Green Silk Bralette and Panty Set
Cadmium, chain necklace, Enigma, Average Height, in shape, Oval Face, Fair Skin, Honey Blonde Hair, pink Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Wavy Layered Bob, round breasts, Clip-on earrings, cherry, matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Tantalum, brooch, Baroness, Short, Lean, Round Face, Dark Skin, Strawberry Blonde Hair, amethyst Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Afro, natural breasts, Threader earrings, burgundy, matte lipstick, Green Satin Robe with Lace Trim
Silver, statement necklace, Enchantress, Short, Fit, Oval Face, Tan Skin, Dark Brown Hair, peach Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Long Curly Hair, perky breasts, Drop earrings, red, cream lipstick, Red Lace Bra and Panty Set with Garter Belt
Beryllium, ankle bracelet, Enigma, Short, Wide Hips, Triangular Face, Dark Skin, Dark Brown Hair, grey Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Sleek Straight Hair, full breasts, Dangle earrings, fuchsia, stain lipstick, Black Mesh Bodysuit with Embroidered Flowers
Beryllium, toe ring, Heiress, Short, Lean, Triangular Face, Olive Skin, Dark Brown Hair, peach Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Long Curled Updo, saggy breasts, Cuff earrings, red, stain lipstick, Turquoise Sheer Chemise with Cutouts
Osmium, tennis necklace, Artist, Tall, Thin, Triangular Face, Tan Skin, White Hair, ice blue Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Straight Bob with Layers, perky breasts, Cuff earrings, golden, satin lipstick, Pink Lace Chemise with Ruffle Details
Iridium, ankle cuff, Enchantress, Short, Wide Hips, Round Face, Tan Skin, Platinum Blonde Hair, green Eyes, Wide Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, soft breasts, Cuff earrings, teal, matte lipstick, Yellow Lace Garter Belt 
Rhodium, bangle bracelet, Heiress, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Light Brown Hair, ice blue Eyes, Straight Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Beach Waves, perky breasts, Clip-on earrings, cream, stain lipstick, Lavender Lace Bra and Panty Set 
Gallium, animal brooch, Duchess, Tall, Thin, Round Face, Fair Skin, Silver Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Fine Hair, Low Ponytail, soft breasts, Cuff earrings, gloss, cream lipstick, White Satin and Lace Bra and Panty Set
Iridium, tennis bracelet, Madam, Tall, Wide Hips, Diamond-Shaped Face, Dark Skin, White Hair, Brown Eyes, Wide Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Double Braided Crown, small breasts, Huggie earrings, plum, velvet lipstick, Brown Strappy Bodysuit
Palladium, necklace, Songstress, Short, Lean, Heart-Shaped Face, Fair Skin, White Hair, Blue Eyes with Green Flecks, Narrow Nose, Full Lips, Round Chin, Long Hair, Straight Hair, Triple Braided Crown, augmented breasts, Faux gauge earrings, light pink, cream lipstick, Navy Blue Satin Garter Belt with Suspenders 
Gallium, beaded necklace, Enigma, Average Height, Lean, Diamond-Shaped Face, Olive Skin, Blonde Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, firm breasts, Stud earrings, hot pink, matte lipstick, Pink Lace Garter Slip with Matching Thong
Tantalum, watch bracelet, Superwoman, Tall, Narrow Hips, Heart-Shaped Face, Dark Skin, Red Hair, turquoise Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Fishbone Braid, full breasts, Threader earrings, red, satin lipstick, Maroon Satin and Lace Corset 
Cadmium, cuff bracelet, Gal, Tall, Skinny, Heart-Shaped Face, Fair Skin, Blonde Hair, grey-blue Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, small breasts, Threader earrings, beige, stain lipstick, Blue Satin and Lace Cami and Short Set
Beryllium, anklet, Empress, Average Height, Lean, Round Face, Olive Skin, Dark Brown Hair, jade Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Fringed Bangs, augmented breasts, Threader earrings, light pink, satin lipstick, Lavender Lace Bra and Panty Set 
Palladium, torc necklace, Female Viking, Tall, Wide Hips, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Long Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Braided Half Up, firm breasts, Drop earrings, rose, satin lipstick, Black Leather Bralette and Panty Set
Cadmium, pearl necklace, Miss, Short, Thin, Triangular Face, Tan Skin, Black Hair, silver Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Wavy Updo, round breasts, Dangle earrings, coral, matte lipstick, Grey Faux Leather Corset 
Indium, bangle bracelet, Trailblazer, Short, Skinny, Oval Face, Dark Skin, Golden Blonde Hair, brown Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Updo, saggy breasts, Hoop earrings, nude, matte lipstick, Black Leather Bralette and Panty Set
Beryllium, vintage brooch, Visionary, Tall, Thin, Round Face, Dark Skin, Blonde Hair, red Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Fishtail Braid, full breasts, Dangle earrings, teal, gloss lipstick, Yellow Lace Halter Bralette and Thong Set
Platinum, ankle cuff, Maven, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Black Hair, green Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Wavy Hair, Dutch Braid, augmented breasts, Threader earrings, teal, stain lipstick, Yellow Lace Garter Belt 
Gallium, bangle bracelet, Miss, Tall, Narrow Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Sock Bun, natural breasts, Stud earrings, light pink, metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Beryllium, vintage brooch, Heiress, Short, Narrow Hips, Round Face, Fair Skin, Silver Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Layered Bob, natural breasts, Hoop earrings, pink, matte lipstick, Ivory Lace Teddy
Gold, friendship bracelet, Enigma, Tall, Slim, Oval Face, Tan Skin, Black Hair, gold Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Boho Braid, asymmetrical breasts, Huggie earrings, burgundy, sheer lipstick, Orange Satin Slip
Germanium, vintage brooch, Luminary, Average Height, Toned, Square Face, Olive Skin, Auburn Hair, pink Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Afro, augmented breasts, Clip-on earrings, hot pink, sheer lipstick, Black Leather Bralette and Panty Set
Rhodium, multi-strand necklace, Belle, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, Hazel Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, High Chignon, small breasts, Faux gauge earrings, peach, metallic lipstick, Cream Sequin Bra and Pant Set
Ruthenium, pendant, Escort, Average Height, Athletic, Square Face, Fair Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Shoulder-Length Curls, full breasts, Threader earrings, fuchsia, metallic lipstick, White Lace Bralette and Boyshorts Set
Platinum, flower brooch, Miss, Average Height, Thin, Oval Face, Fair Skin, White Hair, gold Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Bob with Bangs, asymmetrical breasts, Cuff earrings, black, gloss lipstick, Mint Green Mesh Teddy 
Osmium, ankle bracelet, Visionary, Tall, Slim, Diamond-Shaped Face, Tan Skin, Light Brown Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Low Chignon, perky breasts, Clip-on earrings, shimmer, satin lipstick, Olive Green Mesh Garter Belt with Stockings
Rhenium, torc necklace, Female Viking, Average Height, Skinny, Heart-Shaped Face, Fair Skin, Red Hair, yellow Eyes, Wide Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Straight Bob with Layers, natural breasts, Drop earrings, gloss, sheer lipstick, Red Mesh Chemise with Strappy Back Detail
Gold, beaded necklace, Vixen, Average Height, Athletic, Oval Face, Tan Skin, Black Hair, dark brown Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Coarse Hair, Braided Updo, large breasts, Hoop earrings, cherry, satin lipstick, Black Cutout Bodysuit with Zipper
Gallium, choker, Babe, Short, Firm, Heart-Shaped Face, Fair Skin, Silver Hair, Sapphire Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Long Curly Hair, perky breasts, Huggie earrings, gloss, velvet lipstick, Purple Velvet Robe with Fur Trim 
Iridium, bangle bracelet, Enchantress, Short, in shape, Oval Face, Dark Skin, Black Hair, grey-blue Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, perky breasts, Cuff earrings, magenta, cream lipstick, Green Satin Robe with Lace Trim
Gold, ankle cuff, Female Viking, Tall, Skinny, Diamond-Shaped Face, Olive Skin, Black Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Straight Hair, Loose Curls, small breasts, Stud earrings, black, metallic lipstick, Silver Silk Bra and Panty Set with Garter Belt
Gallium, ankle cuff, Empress, Tall, Wide Hips, Triangular Face, Olive Skin, Red Hair, grey-blue Eyes, Wide Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Side French Braid, soft breasts, Faux gauge earrings, beige, satin lipstick, Charcoal Sheer Bra and Panty Set
Palladium, ankle bracelet, Goddess, Short, Slim, Round Face, Olive Skin, Honey Blonde Hair, red Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Four-Strand Braid, large breasts, Stud earrings, mauve, stain lipstick, Yellow Lace Halter Bralette and Thong Set
Iridium, anklet, Dame, Short, Wide Hips, Round Face, Fair Skin, Strawberry Blonde Hair, coral Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Messy Beach Waves, round breasts, Hoop earrings, burgundy, velvet lipstick, Mint Green Mesh Teddy 
Cadmium, beaded necklace, Charmer, Tall, Thin, Square Face, Dark Skin, Platinum Blonde Hair, blue Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Straight Bob with Layers, asymmetrical breasts, Hoop earrings, cherry, metallic lipstick, Pink Lace Garter Slip with Matching Thong
Silver, choker, Baroness, Tall, Toned, Heart-Shaped Face, Dark Skin, Auburn Hair, yellow Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Braided Half Up, soft breasts, Huggie earrings, shimmer, matte lipstick, Grey Faux Leather Corset 
Iridium, pearl necklace, Mistress, Short, Lean, Diamond-Shaped Face, Tan Skin, Golden Blonde Hair, light blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Fluffy Afro, perky breasts, Clip-on earrings, magenta, matte lipstick, Turquoise Sheer Chemise with Cutouts
Tantalum, beaded necklace, Madam, Short, Firm, Diamond-Shaped Face, Tan Skin, Silver Hair, yellow Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Sock Bun, perky breasts, Faux gauge earrings, beige, stain lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Platinum, vintage brooch, Seductress, Average Height, Athletic, Diamond-Shaped Face, Olive Skin, Light Brown Hair, silver Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Stacked Bob, full breasts, Stud earrings, orange, metallic lipstick, Blue Sheer Babydoll with Satin Trim
Platinum, multi-strand necklace, Lady, Short, Athletic, Oval Face, Olive Skin, Chestnut Hair, turquoise Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Angled Bob, asymmetrical breasts, Hoop earrings, fuchsia, matte lipstick, Green Satin and Lace Garter Belt with Matching Thong
Iridium, flower brooch, Femme fatale, Short, Lean, Oval Face, Dark Skin, Light Brown Hair, dark brown Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Fishtail Braid, natural breasts, Cuff earrings, grape, stain lipstick, Olive Green Mesh Garter Belt with Stockings
Beryllium, locket necklace, Vixen, Average Height, Fit, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, augmented breasts, Faux gauge earrings, cherry, matte lipstick, Lavender Lace Bra and Panty Set 
Rhodium, toe ring, Lady, Average Height, Wide Hips, Square Face, Dark Skin, Light Brown Hair, Sapphire Eyes, Straight Nose, Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Dutch Braid, augmented breasts, Clip-on earrings, magenta, stain lipstick, White Sheer Teddy with Lace Trim
Tantalum, ankle bracelet, Dame, Short, Firm, Heart-Shaped Face, Fair Skin, Brunette Hair, amethyst Eyes, [[Curved Nose]], Thin Lips, Sharp Chin, Long Hair, Straight Hair, Formal Updo, firm breasts, Huggie earrings, shimmer, cream lipstick, Red Lace Bra and Panty Set with Garter Belt
Ruthenium, cocktail brooch, Belle, Tall, Slim, Oval Face, Tan Skin, Light Brown Hair, purple Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Straight Bob with Layers, saggy breasts, Threader earrings, gloss, cream lipstick, Green Satin and Lace Garter Belt with Matching Thong
Germanium, beaded bracelet, Queen, Short, Narrow Hips, Oval Face, Fair Skin, Red Hair, red Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Sock Bun, perky breasts, Stud earrings, orange, stain lipstick, Pink Floral Corset
Gallium, pearl necklace, Dame, Tall, in shape, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Long Straight Hair, firm breasts, Stud earrings, red, metallic lipstick, Orange Satin Slip
Radium, bib necklace, Dame, Short, Slim, Round Face, Dark Skin, Gray Hair, grey-blue Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, soft breasts, Dangle earrings, burgundy, gloss lipstick, Plum Satin and Lace Bustier 
Gallium, charm bracelet, Female Viking, Short, in shape, Diamond-Shaped Face, Dark Skin, Gray Hair, aquamarine Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Coarse Hair, Fluffy Afro, round breasts, Clip-on earrings, hot pink, metallic lipstick, Mint Green Mesh Teddy 
Silver, toe ring, Enchantress, Average Height, Athletic, Square Face, Fair Skin, Silver Hair, gold Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, round breasts, Dangle earrings, lavender, matte lipstick, Blue Sheer Babydoll with Satin Trim
Tantalum, bracelet, Diva, Short, Firm, Triangular Face, Dark Skin, Brunette Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Donut Bun, saggy breasts, Faux gauge earrings, red, cream lipstick, Cream Sequin Bra and Pant Set
Tantalum, anklet, Femme fatale, Short, Slim, Heart-Shaped Face, Olive Skin, Silver Hair, Green Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Curly Hair, Dutch Braid, small breasts, Cuff earrings, black, gloss lipstick, Black Leather Bralette and Panty Set
Cadmium, ankle strap, Seductress, Tall, Thin, Diamond-Shaped Face, Tan Skin, Black Hair, ruby Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Coarse Hair, Loose Waves, round breasts, Clip-on earrings, teal, metallic lipstick, Black Leather Bralette and Panty Set
Iridium, tennis bracelet, Baroness, Average Height, Slim, Diamond-Shaped Face, Fair Skin, Light Brown Hair, Green Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Thick Hair, Messy Bun, augmented breasts, Stud earrings, lavender, stain lipstick, Pink Lace Chemise with Ruffle Details
Gallium, bracelet, Diva, Average Height, Toned, Triangular Face, Tan Skin, Black Hair, silver Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Double Braided Crown, firm breasts, Hoop earrings, silver, matte lipstick, Navy Blue Satin Garter Belt with Suspenders 
Gallium, pendant, Lady, Tall, Thin, Square Face, Dark Skin, White Hair, ice blue Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Bun, small breasts, Threader earrings, golden, stain lipstick, Lavender Lace Bra and Panty Set 
